"Natural Gas Consumption by End-Use Sector and Census Division"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=77-AEO2017&cases=ref2017&sid=ref2017-d120816a.7-2-AEO2017.1-0~ref2017-d120816a.37-2-AEO2017.1-0~ref2017-d120816a.21-2-AEO2017.1-0~ref2017-d120816a.133-2-AEO2017.1-0&sourcekey=0"
"Sun Oct 14 2018 23:26:42 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
East North Central,"Natural Gas Use: Electric Power: East North Central": Reference case,77-AEO2017.38.ref2017-d120816a,"Tcf",0.689188,0.830832,0.788726,0.801145,0.728705,0.692107,0.701164,0.644721,0.656128,0.718389,0.785191,0.875344,0.938442,1.042212,1.116533,1.219874,1.270135,1.329689,1.343189,1.418616,1.463986,1.468158,1.567571,1.628485,1.655203,1.666494,1.698863,1.704993,1.720883,1.735238,1.742146,1.745507,1.752244,1.763421,1.760237,1.840463,"2.4%"
West North Central,"Natural Gas Use: Electric Power: West North Central": Reference case,77-AEO2017.39.ref2017-d120816a,"Tcf",0.142184,0.092244,0.074793,0.083905,0.091241,0.09113,0.096739,0.098642,0.095873,0.104929,0.105541,0.106219,0.113011,0.12661,0.125823,0.128213,0.130492,0.131907,0.129445,0.127024,0.141481,0.143569,0.14917,0.156256,0.161469,0.162076,0.166387,0.169098,0.17556,0.174833,0.1803,0.185315,0.192237,0.201833,0.189271,0.201833,"2.3%"
South Atlantic,"Natural Gas Use: Electric Power: South Atlantic": Reference case,77-AEO2017.40.ref2017-d120816a,"Tcf",2.251305,2.202435,2.152138,2.166806,2.122058,2.037138,2.043429,1.985439,2.016309,2.133837,2.197466,2.200081,2.157956,2.181185,2.22449,2.215648,2.195765,2.186217,2.196755,2.266261,2.37377,2.388656,2.350856,2.383415,2.433255,2.388318,2.452464,2.485775,2.518404,2.565938,2.664312,2.737218,2.823009,2.878992,2.873268,2.938323,"0.9%"
East South Central,"Natural Gas Use: Electric Power: East South Central": Reference case,77-AEO2017.41.ref2017-d120816a,"Tcf",0.845816,0.953445,0.913841,0.882453,0.720265,0.623984,0.606894,0.676448,0.720139,0.711457,0.738231,0.727708,0.77927,0.811033,0.83577,0.829107,0.854965,0.858371,0.848973,0.848311,0.859452,0.85515,0.870752,0.871427,0.864543,0.846142,0.846256,0.844341,0.840756,0.842107,0.822207,0.826022,0.808898,0.780522,0.776922,0.785437,"-0.6%"
West South Central,"Natural Gas Use: Electric Power: West South Central": Reference case,77-AEO2017.42.ref2017-d120816a,"Tcf",2.351797,2.716937,2.640475,2.582588,2.479034,2.262096,2.179684,2.209405,2.217849,2.279318,2.288964,2.39632,2.460771,2.52958,2.604395,2.637718,2.575667,2.621961,2.664288,2.754019,2.852316,2.912316,3.030121,3.116539,3.197701,3.259755,3.315858,3.36829,3.399969,3.441424,3.517379,3.556607,3.594739,3.615502,3.660548,3.725816,"0.9%"
Mountain,"Natural Gas Use: Electric Power: Mountain": Reference case,77-AEO2017.43.ref2017-d120816a,"Tcf",0.725527,0.555548,0.56939,0.514151,0.534671,0.465773,0.406216,0.31884,0.318684,0.341996,0.374515,0.381368,0.412863,0.391378,0.409749,0.411176,0.40861,0.4161,0.412379,0.413075,0.410627,0.380287,0.385825,0.385815,0.388602,0.415565,0.419306,0.42965,0.418188,0.445779,0.453325,0.463498,0.483518,0.503895,0.514652,0.526684,"-0.2%"
Pacific,"Natural Gas Use: Electric Power: Pacific": Reference case,77-AEO2017.44.ref2017-d120816a,"Tcf",1.047759,1.088107,0.849996,0.909555,0.84025,0.725044,0.667376,0.610241,0.491355,0.463175,0.542058,0.60644,0.568839,0.577903,0.561373,0.549486,0.544167,0.553808,0.555475,0.558998,0.561984,0.552513,0.557945,0.570077,0.574679,0.583173,0.591029,0.585751,0.590358,0.593413,0.597979,0.604846,0.601718,0.608657,0.602908,0.606181,"-1.7%"
Transportation,"Natural Gas Use: Transportation: Total": Reference case,77-AEO2017.46.ref2017-d120816a,"Tcf",0.062218,0.070803,0.081532,0.090557,0.10012,0.110765,0.119022,0.127278,0.136185,0.146535,0.158511,0.171073,0.185394,0.200756,0.215662,0.230593,0.244626,0.257793,0.271388,0.284895,0.298564,0.311911,0.325071,0.338218,0.352744,0.365562,0.379486,0.39358,0.40808,0.42279,0.437409,0.452477,0.467827,0.483322,0.499977,0.517669,"6.0%"
New England,"Natural Gas Use: Transportation: New England": Reference case,77-AEO2017.47.ref2017-d120816a,"Tcf",0.001704,0.001879,0.002189,0.00246,0.002817,0.003165,0.003431,0.003683,0.003959,0.004267,0.004583,0.004863,0.005162,0.005471,0.005763,0.006054,0.006337,0.006607,0.006883,0.007176,0.007455,0.007722,0.007989,0.008272,0.00854,0.008805,0.00912,0.009443,0.009777,0.010119,0.010462,0.010816,0.011171,0.011537,0.011952,0.012393,"5.7%"
Middle Atlantic,"Natural Gas Use: Transportation: Middle Atlantic": Reference case,77-AEO2017.48.ref2017-d120816a,"Tcf",0.006899,0.00773,0.008767,0.009801,0.010841,0.012049,0.012984,0.013908,0.014916,0.016004,0.017182,0.018337,0.019554,0.020795,0.022013,0.023259,0.024487,0.025684,0.026878,0.028098,0.029294,0.030493,0.031665,0.032863,0.0341,0.035328,0.036649,0.037986,0.039353,0.040734,0.042098,0.043502,0.044959,0.046443,0.048024,0.049676,"5.6%"
